Nova name                     | Coordinates           | Eruption date | mag. | Comments
LMCN 1971-03a                 | 04:58:18.46 -68:05:49.6 | 1971-03-29 | 11.8  | MPE LMC list - https://www.mpe.mpg.de/~m31novae/opt/lmc/LMC_table.html
LMCN 1970-11a                 | 05:35:33.59 -70:46:21.4 | 1971-01-21 | 11.0  | MPE LMC list - https://www.mpe.mpg.de/~m31novae/opt/lmc/LMC_table.html
LMCN 1970-03a                 | 05:33:12.65 -70:35:01.8 | 1970-03-08 | 12.0  | MPE LMC list - https://www.mpe.mpg.de/~m31novae/opt/lmc/LMC_table.html
LMCN 1968-12a                 | 05:10:01.99 -71:39:52.5 | 1968-12-14 | 10.4  | MPE LMC list - https://www.mpe.mpg.de/~m31novae/opt/lmc/LMC_table.html
SMCN 1952-12a                 | 00:48:37.00 -73:30:45.0 | 1952-12-22 | 11.0  | MPE SMC list - https://www.mpe.mpg.de/~m31novae/opt/smc/SMC_table.html
SMCN 1951-06a                 | 00:35:21.00 -72:57:56.0 | 1951-06-12 | 11.5  | MPE SMC list - https://www.mpe.mpg.de/~m31novae/opt/smc/SMC_table.html
LMCN 1951-01a                 | 05:12:49.00 -69:58:13.0 | 1951-01-04 | 11.9  | MPE LMC list - https://www.mpe.mpg.de/~m31novae/opt/lmc/LMC_table.html
LMCN 1948-12a                 | 05:38:18.00 -70:20:55.0 | 1948-12-05 | 13.0  | MPE LMC list - https://www.mpe.mpg.de/~m31novae/opt/lmc/LMC_table.html
LMCN 1937-11a                 | 05:57:30.00 -68:55:06.0 | 1937-11-23 | 10.6  | MPE LMC list - https://www.mpe.mpg.de/~m31novae/opt/lmc/LMC_table.html
LMCN 1936-02a                 | 05:07:34.86 -66:39:25.0 | 1936-02-25 | 10.8  | MPE LMC list - https://www.mpe.mpg.de/~m31novae/opt/lmc/LMC_table.html
LMCN 1935-09a                 | 03:59:15.90 -67:46:35.7 | 1935-09-03 | 11.0  | MPE LMC list - https://www.mpe.mpg.de/~m31novae/opt/lmc/LMC_table.html
SMCN 1927-10a                 | 00:34:10.00 -73:15:55.0 | 1927-10-04 | 11.4  | MPE SMC list - https://www.mpe.mpg.de/~m31novae/opt/smc/SMC_table.html
LMCN 1926-09a                 | 05:14:54.70 -66:48:10.3 | 1926-09-28 | 12.4  | MPE LMC list - https://www.mpe.mpg.de/~m31novae/opt/lmc/LMC_table.html
SMCN 1897-10a                 | 00:59:56.00 -70:14:39.0 | 1897-10-15 | 11.4  | MPE SMC list - https://www.mpe.mpg.de/~m31novae/opt/smc/SMC_table.html
